ID,Тип,Артикул,"GTIN, UPC, EAN или ISBN",Имя,Опубликован,Рекомендуемый?,Видимость в каталоге,Краткое описание,Описание,Дата начала действия скидки,Дата окончания действия скидки,Статус налога,Налоговый класс,Наличие,Запасы,Величина малых запасов,Возможен ли предзаказ?,Продано индивидуально?,Вес (кг),Длина (см),Ширина (см),Высота (см),Разрешить отзывы от клиентов?,Примечание к покупке,Акционная цена,Базовая цена,Категории,Метки,Класс доставки,Изображения,Лимит скачивания,Дней срока скачивания,Родительский,Сгруппированные товары,Апсэлы,Кросселы,Внешний URL,Текст кнопки,Позиция,Бренды,Название атрибута 1,Значения атрибутов 1,Видимость атрибута 1,Глобальный атрибут 1,Название атрибута 2,Значения атрибутов 2,Видимость атрибута 2,Глобальный атрибут 2,Название атрибута 3,Значения атрибутов 3,Видимость атрибута 3,Глобальный атрибут 3,Название атрибута 4,Значения атрибутов 4,Видимость атрибута 4,Глобальный атрибут 4,Название атрибута 5,Значения атрибутов 5,Видимость атрибута 5,Глобальный атрибут 5,Название атрибута 6,Значения атрибутов 6,Видимость атрибута 6,Глобальный атрибут 6,Название атрибута 7,Значения атрибутов 7,Видимость атрибута 7,Глобальный атрибут 7,Название атрибута 8,Значения атрибутов 8,Видимость атрибута 8,Глобальный атрибут 8,Название атрибута 9,Значения атрибутов 9,Видимость атрибута 9,Глобальный атрибут 9,Название атрибута 10,Значения атрибутов 10,Видимость атрибута 10,Глобальный атрибут 10,Метка Meta: _yoast_wpseo_focuskw,Метка Meta: _yoast_wpseo_title
,variable,31067662,,кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,1,0,visible,кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,"голубой эффект омбре перфорация ребристая подошва без застежки логотип Swoosh изогнутая форма Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",,,taxable,,1,,,0,0,,,,,0,,,,Обувь,,,https://cdn-images.farfetch-contents.com/31/06/76/62/31067662_60972407_1000.jpg,,,,,,,,,,Nike,Размер,"8, 9, 10, 11, 12, 13, 14",1,1,Цвет,"Midnight Navy/Comet Blue/Ghost/Midnight Navy, синий",1,1,Артикул,IB6366,1,1,Пол,Мужской,1,1,Сезон,AW25,1,1,Бренд,Nike,1,1,,,,,,,,,,,,,,,,,,
,variation,31067662_8,,"""кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue - 8""",1,,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,140.0,,,,"""https://cdn-images.farfetch-contents.com/31/06/76/62/31067662_60972407_1000.jpg""",,,31067662,,,,,,,,Размер,8,1,1,Цвет,синий,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,31067662_9,,"""кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue - 9""",1,,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,152.0,,,,"""https://cdn-images.farfetch-contents.com/31/06/76/62/31067662_60972407_1000.jpg""",,,31067662,,,,,,,,Размер,9,1,1,Цвет,синий,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,31067662_10,,"""кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue - 10""",1,,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,184.0,,,,"""https://cdn-images.farfetch-contents.com/31/06/76/62/31067662_60972407_1000.jpg""",,,31067662,,,,,,,,Размер,10,1,1,Цвет,синий,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,31067662_11,,"""кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue - 11""",1,,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,140.0,,,,"""https://cdn-images.farfetch-contents.com/31/06/76/62/31067662_60972407_1000.jpg""",,,31067662,,,,,,,,Размер,11,1,1,Цвет,синий,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,31067662_12,,"""кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue - 12""",1,,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,,185.0,,,,"""https://cdn-images.farfetch-contents.com/31/06/76/62/31067662_60972407_1000.jpg""",,,31067662,,,,,,,,Размер,12,1,1,Цвет,синий,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,31067662_13,,"""кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue - 13""",1,,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,,177.0,,,,"""https://cdn-images.farfetch-contents.com/31/06/76/62/31067662_60972407_1000.jpg""",,,31067662,,,,,,,,Размер,13,1,1,Цвет,синий,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,31067662_14,,"""кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue - 14""",1,,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,,177.0,,,,"""https://cdn-images.farfetch-contents.com/31/06/76/62/31067662_60972407_1000.jpg""",,,31067662,,,,,,,,Размер,14,1,1,Цвет,синий,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,24184032,,кроссовки Cloudtilt Black/Ivory,1,0,visible,кроссовки Cloudtilt Black/Ivory,"белый/черный система быстрой шнуровки сетчатый верх уплотненная щиколотка логотип сбоку закругленный носок стелька с логотипом подошва CloudTec Phase™? массивная резиновая подошва Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",,,taxable,,1,,,0,0,,,,,0,,,,Обувь,,,https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380918_1000.jpg,,,,,,,,,,On Running,Размер,"8, 9.5, 10, 10.5, 11, 11.5, 12, 12.5, 13, 14",1,1,Цвет,"BLACK | IVORY, серый",1,1,Артикул,3ME10101430,1,1,Пол,Мужской,1,1,Сезон,AW25,1,1,Бренд,On Running,1,1,,,,,,,,,,,,,,,,,,
,variation,24184032_8,,"""кроссовки Cloudtilt Black/Ivory - 8""",1,,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,,174.0,,,,"""https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380918_1000.jpg""",,,24184032,,,,,,,,Размер,8,1,1,Цвет,серый,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,24184032_9.5,,"""кроссовки Cloudtilt Black/Ivory - 9.5""",1,,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,,178.0,,,,"""https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380918_1000.jpg""",,,24184032,,,,,,,,Размер,9.5,1,1,Цвет,серый,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,24184032_9.5,,"""кроссовки Cloudtilt Black/Ivory - 9.5""",1,,visible,,,,,taxable,parent,1,28,,0,0,,,,,0,,,177.0,,,,"""https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380918_1000.jpg""",,,24184032,,,,,,,,Размер,9.5,1,1,Цвет,серый,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,24184032_10,,"""кроссовки Cloudtilt Black/Ivory - 10""",1,,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,,178.0,,,,"""https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380918_1000.jpg""",,,24184032,,,,,,,,Размер,10,1,1,Цвет,серый,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,24184032_10,,"""кроссовки Cloudtilt Black/Ivory - 10""",1,,visible,,,,,taxable,parent,1,30,,0,0,,,,,0,,,178.0,,,,"""https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380918_1000.jpg""",,,24184032,,,,,,,,Размер,10,1,1,Цвет,серый,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,24184032_10.5,,"""кроссовки Cloudtilt Black/Ivory - 10.5""",1,,visible,,,,,taxable,parent,1,10,,0,0,,,,,0,,,257.0,,,,"""https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380918_1000.jpg""",,,24184032,,,,,,,,Размер,10.5,1,1,Цвет,серый,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,24184032_10.5,,"""кроссовки Cloudtilt Black/Ivory - 10.5""",1,,visible,,,,,taxable,parent,1,29,,0,0,,,,,0,,,170.0,,,,"""https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380918_1000.jpg""",,,24184032,,,,,,,,Размер,10.5,1,1,Цвет,серый,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,24184032_11,,"""кроссовки Cloudtilt Black/Ivory - 11""",1,,visible,,,,,taxable,parent,1,70,,0,0,,,,,0,,,178.0,,,,"""https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380918_1000.jpg""",,,24184032,,,,,,,,Размер,11,1,1,Цвет,серый,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,24184032_11,,"""кроссовки Cloudtilt Black/Ivory - 11""",1,,visible,,,,,taxable,parent,1,13,,0,0,,,,,0,,,257.0,,,,"""https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380918_1000.jpg""",,,24184032,,,,,,,,Размер,11,1,1,Цвет,серый,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,24184032_11,,"""кроссовки Cloudtilt Black/Ivory - 11""",1,,visible,,,,,taxable,parent,1,30,,0,0,,,,,0,,,178.0,,,,"""https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380918_1000.jpg""",,,24184032,,,,,,,,Размер,11,1,1,Цвет,серый,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,24184032_11.5,,"""кроссовки Cloudtilt Black/Ivory - 11.5""",1,,visible,,,,,taxable,parent,1,29,,0,0,,,,,0,,,171.0,,,,"""https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380918_1000.jpg""",,,24184032,,,,,,,,Размер,11.5,1,1,Цвет,серый,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,24184032_12,,"""кроссовки Cloudtilt Black/Ivory - 12""",1,,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,,200.0,,,,"""https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380918_1000.jpg""",,,24184032,,,,,,,,Размер,12,1,1,Цвет,серый,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,24184032_12,,"""кроссовки Cloudtilt Black/Ivory - 12""",1,,visible,,,,,taxable,parent,1,30,,0,0,,,,,0,,,173.0,,,,"""https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380918_1000.jpg""",,,24184032,,,,,,,,Размер,12,1,1,Цвет,серый,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,24184032_12.5,,"""кроссовки Cloudtilt Black/Ivory - 12.5""",1,,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,,264.0,,,,"""https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380918_1000.jpg""",,,24184032,,,,,,,,Размер,12.5,1,1,Цвет,серый,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,24184032_13,,"""кроссовки Cloudtilt Black/Ivory - 13""",1,,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,,182.0,,,,"""https://cdn-images.farfetch-contents.com/24/18/40/32/24184032_58380918_1000.jpg""",,,24184032,,,,,,,,Размер,13,1,1,Цвет,серый,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
